RecordID,CollectionDate,ConfirmedMalariaCases,SuspectedMalariaCasesTested,MalariaTestPositivityRate,MalariaIncidenceRate,SevereMalariaCases,MalariaDeaths,OutpatientMalariaVisits,InpatientMalariaAdmissions,ChildMalariaCases,MalariaInPregnancy,ITNOwnershipPercent,ITNUsagePercent,IRSCoveragePercent,Temperature,Precipitation,NDVI,Elevation,UrbanPopulationPercent,Under5PopulationPercent,GDPPerCapita,ImprovedWaterAccessPercent
15,2023-11-01,4,8,0.59,391.77,0,0,6,1,5,0,63.2,44.8,75.8,20.3,195.5,0.32,1991.4,65.0,17.2,438.57,80.3
16,2021-02-24,6,8,0.7,391.77,2,0,8,3,3,1,80.6,53.0,49.6,23.6,12.5,0.56,1490.9,40.3,11.3,548.45,42.9
17,2022-02-12,6,7,0.16,391.77,1,0,4,3,2,0,87.9,61.1,34.1,22.1,57.1,0.69,446.1,18.2,18.2,543.84,73.9
18,2023-05-10,1,7,0.18,391.77,0,0,6,1,4,0,61.9,35.8,41.0,25.7,53.6,0.73,121.2,69.8,16.4,496.23,63.2
19,2022-03-28,7,14,0.16,391.77,2,0,12,1,2,2,70.2,30.5,57.8,26.6,69.8,0.36,567.4,44.0,13.9,395.28,86.6
20,2023-07-09,2,11,0.54,391.77,3,0,7,1,4,1,60.7,40.6,53.0,24.1,10.7,0.15,1751.1,36.1,10.0,518.71,52.9
21,2022-07-24,11,9,0.56,391.77,0,0,10,2,3,1,78.0,84.3,30.4,26.2,11.5,0.66,1911.0,62.3,10.1,563.4,84.1
22,2021-01-14,4,8,0.11,391.77,0,0,8,5,1,1,61.9,64.5,43.4,27.7,49.0,0.76,147.5,54.9,14.0,575.08,48.7
23,2021-11-23,3,6,0.63,391.77,0,0,7,5,9,0,70.3,44.7,65.0,30.0,3.8,0.37,711.3,61.8,15.4,537.38,74.2
24,2023-05-16,8,5,0.71,391.77,1,0,2,3,4,2,70.9,35.5,38.9,28.3,52.4,0.37,36.8,30.1,16.7,477.85,64.9
25,2022-11-28,3,9,0.19,391.77,0,0,7,2,3,1,76.2,53.6,25.6,24.7,13.9,0.49,548.3,52.6,11.5,521.37,86.5
26,2022-07-24,3,5,0.37,391.77,0,0,9,3,5,3,67.7,42.8,63.8,27.0,220.9,0.61,762.5,47.1,11.2,527.09,59.9
27,2021-11-15,5,14,0.78,391.77,0,0,4,1,4,0,88.4,36.7,62.7,22.0,19.2,0.41,1894.9,51.6,12.0,375.81,65.4
28,2022-03-17,8,7,0.65,391.77,0,0,10,0,2,2,74.3,55.5,58.3,27.7,79.9,0.27,586.0,23.3,10.9,634.74,84.2
29,2022-11-21,3,14,0.34,391.77,3,0,5,1,3,2,56.3,79.2,75.8,32.0,31.9,0.75,389.8,14.6,15.4,294.85,79.9
30,2021-07-29,2,6,0.69,391.77,4,0,5,4,0,3,91.0,44.3,56.0,25.1,50.8,0.59,368.4,20.6,19.3,472.59,60.7
31,2021-07-09,5,6,0.81,391.77,2,0,15,0,6,3,57.3,53.9,28.7,28.5,106.2,0.33,1013.9,34.9,16.1,622.33,79.1
32,2023-02-18,3,7,0.35,391.77,0,0,9,2,5,2,53.9,86.9,58.4,25.9,13.2,0.74,138.7,12.6,13.1,575.82,89.1
33,2021-07-18,8,11,0.65,391.77,0,0,10,3,3,0,93.3,33.4,62.2,25.8,0.6,0.12,1945.3,63.8,17.0,529.07,89.6
34,2023-01-06,10,12,0.17,391.77,1,0,11,2,3,2,87.4,49.2,57.0,23.6,5.4,0.44,647.4,38.2,11.8,367.84,48.2
35,2022-12-06,3,9,0.15,391.77,1,0,9,1,2,1,61.3,37.4,76.3,25.2,3.6,0.52,914.1,35.7,17.9,636.17,52.4
36,2022-06-26,2,9,0.57,391.77,1,0,14,2,2,2,66.5,32.5,53.3,28.3,0.3,0.7,243.1,41.8,17.9,409.22,53.9
37,2021-03-30,5,9,0.49,391.77,1,0,11,3,4,2,90.0,57.4,74.3,28.2,121.8,0.21,1408.1,28.1,17.7,588.64,89.8
38,2023-07-30,7,10,0.75,391.77,2,0,8,1,3,0,99.5,57.9,35.7,25.9,17.9,0.42,1327.8,52.9,19.7,616.84,78.0
39,2021-09-13,6,12,0.72,391.77,1,0,13,3,4,0,84.0,53.6,52.2,26.7,18.9,0.25,101.2,15.4,13.9,247.28,44.9
40,2023-02-15,6,14,0.33,391.77,3,0,5,1,0,1,88.9,40.3,41.9,22.6,23.5,0.37,1102.5,22.3,10.4,481.26,48.1
41,2021-06-11,2,13,0.51,391.77,4,0,7,4,3,1,59.3,67.5,43.6,27.3,3.9,0.15,1133.9,27.5,13.9,483.97,88.2
42,2022-08-24,4,9,0.7,391.77,0,0,6,0,1,1,99.2,67.1,43.7,24.1,26.3,0.28,275.9,35.6,13.7,354.57,66.1
43,2023-01-11,9,5,0.32,391.77,1,0,5,3,1,1,81.6,85.7,60.6,31.2,21.7,0.76,289.5,59.2,14.8,501.65,78.5
44,2022-01-29,7,8,0.39,391.77,0,0,11,1,4,1,83.4,80.2,38.9,23.2,139.3,0.48,55.4,16.8,14.5,433.21,52.4
45,2021-05-23,11,9,0.15,391.77,1,0,3,2,0,1,93.6,74.8,38.6,24.0,65.1,0.38,1380.8,37.8,12.7,567.53,54.8
46,2021-04-04,8,7,0.2,391.77,3,0,11,1,8,1,86.8,42.2,31.4,23.7,18.3,0.17,1856.1,60.8,13.1,468.01,71.1
47,2022-04-12,3,8,0.59,391.77,1,0,9,2,4,0,65.5,35.7,65.9,31.1,48.1,0.6,1769.2,67.0,15.5,639.42,65.6
48,2022-08-16,2,11,0.5,391.77,1,0,8,4,5,1,68.5,60.9,42.3,27.8,0.7,0.22,1331.8,38.8,16.0,486.12,75.3
49,2021-06-13,3,5,0.23,391.77,0,0,9,1,3,1,50.1,54.2,21.6,29.6,48.0,0.68,1427.5,27.2,18.4,391.42,75.4
50,2022-04-22,4,9,0.11,391.77,2,0,3,4,1,0,87.9,87.6,27.4,26.5,33.5,0.27,600.1,59.0,19.5,553.85,62.4
51,2021-07-26,5,7,0.24,391.77,3,0,5,2,1,1,86.8,85.6,37.7,26.6,9.7,0.42,92.6,47.3,11.5,561.87,40.7
52,2023-02-18,5,7,0.7,391.77,1,0,8,0,3,0,70.8,46.9,31.1,27.2,82.0,0.11,343.1,61.0,18.3,347.83,88.1
53,2022-07-24,4,9,0.17,391.77,0,0,9,5,0,2,62.6,67.5,75.9,34.1,42.1,0.71,964.3,51.6,19.9,393.72,63.2
54,2023-07-18,3,17,0.42,391.77,1,0,13,3,2,2,84.7,47.1,34.0,28.8,93.2,0.71,1751.2,46.5,16.6,431.59,47.6
55,2023-01-18,8,9,0.29,391.77,0,0,7,1,7,2,70.1,66.4,20.9,25.8,53.3,0.42,1600.9,18.0,17.5,444.57,67.9
56,2021-11-30,2,10,0.54,391.77,0,0,4,2,2,1,76.3,84.4,48.3,25.3,37.4,0.59,593.4,66.0,14.6,452.1,87.1
57,2023-01-29,1,13,0.51,391.77,0,0,6,2,5,0,72.6,53.0,33.8,30.8,73.7,0.35,1427.3,44.9,18.3,545.7,78.1
58,2022-12-29,4,12,0.89,391.77,1,0,8,2,2,1,60.4,84.6,52.3,30.2,10.3,0.52,1420.9,55.2,14.5,342.93,87.1
59,2022-03-06,5,11,0.72,391.77,2,0,11,2,5,1,81.0,86.8,75.6,28.2,154.7,0.55,622.1,56.8,17.9,437.81,73.3
60,2022-07-01,4,12,0.85,391.77,1,0,4,1,5,3,65.4,38.0,48.5,26.4,39.8,0.29,1720.1,61.1,11.8,360.04,44.1
61,2021-05-27,3,11,0.56,391.77,0,0,8,2,2,1,94.9,59.9,54.1,31.9,56.9,0.3,264.4,64.3,17.9,461.46,72.1
62,2021-12-17,4,9,0.69,391.77,2,0,12,4,2,1,96.5,35.4,70.0,26.9,51.4,0.66,1794.1,48.1,12.3,512.41,82.9
63,2023-12-30,8,14,0.82,391.77,2,0,13,0,3,2,91.7,48.0,31.8,24.6,69.4,0.33,913.3,42.9,15.9,490.9,72.4
64,2022-05-17,2,13,0.13,391.77,1,0,6,0,4,0,66.1,39.4,76.5,28.1,30.1,0.36,768.9,20.8,13.8,507.97,87.7
65,2021-12-01,2,6,0.83,391.77,0,0,9,1,3,1,82.0,46.1,25.0,23.7,45.0,0.13,1234.9,26.8,15.1,569.73,83.8
66,2023-08-05,2,14,0.27,391.77,0,0,7,2,3,3,56.1,40.2,55.1,30.6,10.7,0.42,1787.7,24.7,10.7,609.59,62.3
67,2023-02-17,7,16,0.66,391.77,0,0,8,4,7,0,55.1,50.3,76.3,23.8,33.6,0.11,932.1,68.3,11.3,334.63,82.3
68,2022-07-07,6,8,0.72,391.77,0,0,12,3,3,0,59.9,51.1,67.7,25.2,97.3,0.38,714.0,14.2,16.1,725.22,84.9
69,2022-03-26,7,14,0.19,391.77,0,0,6,4,5,1,85.7,46.7,56.6,21.4,47.6,0.32,492.4,25.9,17.7,416.03,42.7
70,2022-10-27,6,12,0.86,391.77,0,0,6,4,0,0,84.7,55.5,39.0,27.5,84.3,0.71,176.6,66.0,10.6,539.42,54.2
71,2021-04-25,7,16,0.84,391.77,0,0,15,1,8,2,83.3,51.2,66.7,22.7,34.5,0.51,184.5,26.1,13.4,363.01,83.3
72,2022-04-15,6,9,0.62,391.77,1,0,8,2,1,1,51.5,50.7,39.8,27.6,155.7,0.29,924.1,61.6,14.8,511.38,46.0
73,2021-03-07,4,11,0.22,391.77,3,0,10,1,5,3,84.5,44.0,25.8,20.4,19.9,0.24,350.6,25.9,18.0,613.96,53.8
74,2022-10-09,2,9,0.55,391.77,0,0,5,3,1,0,90.3,51.8,68.7,28.2,4.5,0.24,1253.0,64.4,16.3,531.66,77.4
75,2023-04-02,3,9,0.38,391.77,1,0,10,5,1,0,78.9,63.8,54.9,19.3,72.8,0.33,374.7,63.6,17.4,497.66,46.2
76,2022-07-03,4,8,0.84,391.77,0,0,9,2,2,4,65.8,80.6,36.5,22.0,46.4,0.39,1813.0,55.9,18.0,502.08,81.6
77,2021-05-16,7,4,0.43,391.77,0,0,13,1,5,1,58.5,71.4,67.0,28.4,111.6,0.12,517.2,22.5,11.3,404.48,77.8
78,2022-03-09,4,15,0.65,391.77,1,0,4,2,4,2,77.0,56.5,51.7,25.2,5.8,0.2,51.6,60.9,14.5,659.42,52.0
79,2022-10-07,3,7,0.61,391.77,0,0,10,1,4,0,92.5,42.1,67.7,27.8,4.8,0.42,1797.8,64.4,17.9,585.62,46.1
80,2022-03-12,2,14,0.32,391.77,3,0,6,1,2,0,84.7,65.7,51.8,26.4,46.3,0.66,793.7,32.1,18.7,583.58,83.6
81,2023-10-20,6,20,0.53,391.77,0,0,6,3,3,1,52.9,60.0,70.0,27.9,32.0,0.32,241.8,20.9,12.3,554.08,42.9
82,2023-03-22,3,10,0.43,391.77,1,0,12,2,3,4,77.7,89.1,65.3,31.8,31.4,0.48,1374.4,21.7,11.9,337.26,62.8
83,2023-07-29,5,4,0.4,391.77,1,0,9,3,1,3,51.7,50.2,63.4,26.8,42.9,0.23,1956.7,33.1,10.7,500.6,59.4
84,2021-10-20,9,12,0.79,391.77,0,0,8,1,2,1,71.3,66.0,64.0,28.5,49.6,0.49,955.1,24.1,13.9,597.96,70.8
85,2022-06-27,6,10,0.21,391.77,2,0,3,3,3,0,85.4,78.4,70.7,26.9,143.8,0.7,1046.0,69.4,17.6,466.85,82.7
86,2021-10-13,6,13,0.43,391.77,4,0,6,2,6,0,52.1,48.2,49.9,24.2,75.9,0.7,963.2,59.9,15.8,569.97,54.2
87,2022-05-21,9,9,0.11,391.77,0,0,5,2,6,0,97.8,48.4,62.4,32.3,17.1,0.32,587.6,47.8,12.4,400.87,44.0
88,2022-06-23,4,6,0.31,391.77,0,0,4,1,3,0,69.6,49.0,34.7,24.5,2.0,0.4,1660.1,22.7,10.0,483.51,78.5
89,2023-05-28,9,10,0.6,391.77,2,0,6,1,4,3,84.3,45.7,79.3,30.1,135.3,0.65,591.2,17.7,17.7,621.5,64.6
90,2023-03-29,2,12,0.17,391.77,1,0,7,4,4,1,69.6,57.7,64.5,28.2,5.0,0.24,1347.8,42.3,14.6,439.38,53.6
91,2023-01-12,10,9,0.32,391.77,1,0,14,0,2,3,63.8,87.9,47.2,28.5,40.8,0.44,502.1,62.2,18.1,565.35,58.2
92,2022-03-26,6,8,0.8,391.77,1,0,4,1,1,1,89.8,42.0,49.6,28.4,4.7,0.12,490.4,11.0,16.2,511.72,86.7
93,2021-10-11,9,7,0.65,391.77,2,0,7,2,0,0,64.1,60.4,39.7,27.8,111.0,0.28,1571.7,40.1,14.0,507.43,40.6
94,2023-11-10,4,8,0.16,391.77,0,0,7,1,1,1,65.9,32.4,64.6,30.7,90.1,0.24,628.7,29.2,14.8,381.03,71.2
95,2023-10-08,1,12,0.89,391.77,1,0,11,2,3,1,86.5,77.9,23.8,31.4,21.3,0.57,27.7,68.7,17.3,447.84,46.5
96,2021-07-06,6,11,0.86,391.77,1,0,9,3,8,0,65.1,49.0,79.8,23.7,24.9,0.43,937.8,34.7,15.1,612.68,84.3
97,2021-04-07,8,8,0.21,391.77,0,0,8,2,6,1,69.5,85.6,32.7,26.8,191.2,0.38,681.9,20.0,16.1,453.21,69.8
98,2021-08-13,6,8,0.84,391.77,1,0,8,2,2,2,72.2,78.5,56.8,26.1,44.2,0.42,1025.7,54.3,10.8,410.26,53.7
99,2021-11-10,2,4,0.54,391.77,2,0,11,4,2,3,71.8,89.4,35.6,25.2,39.0,0.11,513.6,25.1,11.4,314.05,71.9
100,2021-11-24,3,9,0.84,391.77,1,0,4,3,8,2,62.2,89.6,25.0,27.3,19.0,0.73,1497.5,35.1,13.1,615.59,64.2
101,2023-05-15,5,12,0.87,391.77,1,0,6,4,6,0,52.4,81.3,23.7,29.0,27.7,0.36,116.6,68.2,14.2,574.36,66.7
102,2021-05-11,3,8,0.65,391.77,2,0,7,2,4,1,56.6,47.7,23.0,25.4,27.4,0.27,1777.1,21.5,11.5,602.04,52.0
103,2023-02-28,3,7,0.33,391.77,2,0,5,2,5,1,99.8,51.4,28.5,33.9,34.1,0.75,910.4,40.2,10.4,568.84,84.2
104,2023-02-21,5,9,0.84,391.77,2,0,5,2,1,1,53.1,36.5,73.6,25.5,20.1,0.33,719.9,34.8,16.6,647.6,87.4
105,2023-08-17,6,13,0.56,391.77,3,0,6,3,2,1,84.0,52.7,24.1,28.6,18.4,0.38,43.7,67.7,17.7,492.73,79.0
106,2023-12-20,5,8,0.37,391.77,1,0,8,2,2,2,74.2,65.9,36.3,25.4,23.3,0.17,1353.0,64.7,11.3,530.52,44.5
107,2022-05-30,3,11,0.47,391.77,2,0,9,1,5,1,54.0,35.3,46.7,26.0,14.6,0.56,1351.7,44.8,19.5,600.79,85.8
108,2021-01-24,5,9,0.42,391.77,3,0,9,2,4,1,83.1,42.9,50.7,30.0,55.8,0.66,618.7,52.6,15.8,652.83,60.8
109,2021-08-23,3,10,0.85,391.77,0,0,8,4,4,1,80.0,72.7,65.2,32.2,36.9,0.78,1915.7,41.3,13.4,548.41,59.3
110,2022-07-01,3,12,0.76,391.77,0,0,7,1,2,0,52.9,42.1,25.6,24.3,36.5,0.2,1524.7,42.9,15.0,412.48,45.0
111,2022-11-28,6,4,0.13,391.77,0,0,6,1,4,1,70.6,31.2,38.6,34.8,12.0,0.52,434.9,12.8,11.2,679.8,77.3
112,2021-08-17,5,12,0.11,391.77,3,0,5,3,5,1,80.9,40.9,52.4,24.7,39.0,0.64,1461.8,12.6,12.7,501.91,41.2
113,2022-08-25,6,11,0.16,391.77,3,0,10,3,8,1,84.0,34.3,52.3,25.8,40.5,0.12,1042.3,55.4,15.4,649.62,78.2
114,2023-06-10,2,7,0.59,391.77,0,0,4,1,4,1,92.0,88.8,31.5,30.6,1.6,0.66,1820.3,68.4,12.9,455.5,41.8
115,2021-11-20,4,13,0.75,391.77,1,0,7,2,3,2,78.5,49.2,34.2,30.2,17.3,0.42,1465.7,49.5,12.4,560.3,46.7
116,2023-07-19,7,13,0.51,391.77,2,0,10,4,6,2,78.1,38.7,79.2,34.4,53.3,0.54,1268.6,26.9,18.0,510.36,68.0
117,2021-01-07,6,14,0.53,391.77,2,0,12,4,5,1,69.4,38.0,20.3,29.8,18.9,0.44,1994.1,47.1,14.3,376.42,63.9
118,2022-06-24,5,12,0.29,391.77,0,0,8,2,0,0,52.1,74.6,64.0,29.3,24.4,0.65,52.0,40.5,13.4,490.5,60.0
119,2023-10-23,4,5,0.47,391.77,0,0,8,6,3,0,78.5,47.8,54.9,25.6,33.6,0.14,828.6,35.5,12.8,550.36,79.0
120,2022-01-01,3,5,0.31,391.77,2,0,9,0,1,6,96.5,77.6,43.5,27.9,8.7,0.13,1263.2,19.1,12.5,562.42,85.9
121,2023-11-06,3,14,0.32,391.77,1,0,10,3,3,2,92.2,75.9,38.9,23.5,57.2,0.12,1982.2,26.8,15.9,492.54,43.3
122,2021-08-06,7,11,0.41,391.77,1,0,7,1,4,0,72.1,62.8,27.7,30.3,5.0,0.15,281.2,34.2,15.3,496.96,62.8
123,2022-09-04,7,9,0.14,391.77,1,0,8,1,1,1,63.0,70.3,46.4,26.7,72.5,0.49,1390.3,62.2,11.6,372.04,60.3
124,2023-11-06,6,9,0.86,391.77,0,0,13,1,2,1,54.3,74.1,62.4,25.7,23.6,0.16,527.0,63.2,13.6,597.97,78.6
125,2022-02-12,6,7,0.83,391.77,1,0,7,5,2,3,62.6,40.2,33.7,29.9,21.1,0.66,1232.2,11.6,17.1,418.35,46.1
126,2021-11-10,7,10,0.74,391.77,4,0,6,0,1,1,55.4,88.6,76.7,24.4,43.7,0.67,639.9,60.7,14.1,495.25,65.0
127,2023-02-05,8,8,0.55,391.77,1,0,8,2,4,1,58.1,30.7,58.9,26.1,104.2,0.78,273.4,16.6,15.4,417.09,57.3
128,2021-11-27,6,7,0.75,391.77,1,0,4,0,0,0,60.8,51.5,35.9,31.4,34.6,0.71,1289.1,60.7,10.5,399.19,66.2
129,2023-12-23,3,5,0.88,391.77,0,0,10,0,1,2,83.7,85.1,63.4,27.6,23.9,0.7,973.8,38.6,11.7,470.21,78.3
130,2021-01-02,7,8,0.33,391.77,1,0,6,2,4,2,61.4,35.8,25.3,26.3,95.2,0.13,906.3,13.3,17.3,444.76,79.4
131,2022-10-26,5,8,0.39,391.77,1,0,5,3,7,0,61.6,51.7,66.6,25.7,80.5,0.32,506.0,19.2,19.0,414.46,44.0
132,2023-09-28,5,14,0.68,391.77,1,0,7,3,0,0,59.3,88.9,52.8,29.8,176.6,0.6,454.6,64.6,13.4,389.31,41.3
133,2021-02-09,7,13,0.61,391.77,0,0,11,0,2,2,66.3,33.4,31.4,25.8,5.0,0.65,727.2,24.9,17.4,461.05,84.9
134,2021-08-18,4,15,0.76,391.77,0,0,8,2,1,1,60.7,42.9,30.3,20.7,73.1,0.16,1520.6,24.7,10.1,695.97,40.8
135,2023-01-14,9,6,0.38,391.77,1,0,12,1,5,1,52.6,36.4,63.1,25.0,109.3,0.17,231.1,48.7,19.6,523.89,89.9
136,2022-09-22,4,14,0.35,391.77,2,0,7,3,5,2,75.9,81.0,68.4,26.0,29.4,0.37,1652.3,34.4,17.2,634.49,45.2
137,2022-05-06,5,6,0.57,391.77,0,0,9,1,1,0,54.1,78.7,55.8,29.0,28.5,0.64,1275.5,61.1,19.8,674.67,40.0
138,2021-04-29,2,14,0.22,391.77,0,0,8,3,2,1,71.9,52.0,61.1,27.7,9.4,0.34,1845.4,29.8,15.9,347.17,67.8
139,2022-05-09,6,2,0.13,391.77,1,0,0,1,0,1,58.6,60.0,41.3,31.0,75.7,0.34,1501.8,33.2,14.0,516.05,61.9
140,2021-06-11,3,7,0.3,391.77,0,0,8,4,4,3,66.3,45.6,51.6,26.8,3.1,0.74,856.6,28.2,12.3,286.76,47.8
141,2021-06-25,6,9,0.23,391.77,0,0,9,4,2,2,69.6,72.5,48.9,25.1,0.7,0.12,716.1,35.1,13.4,506.81,82.4
142,2023-09-23,2,12,0.11,391.77,2,0,9,1,2,0,84.7,36.2,30.0,22.6,47.5,0.3,1690.9,58.4,15.8,394.78,53.0
143,2021-05-22,3,8,0.72,391.77,1,1,12,2,5,0,81.0,37.6,63.5,21.4,11.8,0.28,831.4,44.9,16.9,519.82,48.7
144,2023-12-27,5,10,0.53,391.77,1,0,5,4,2,0,73.4,66.7,74.2,24.0,42.0,0.16,297.3,51.7,11.6,413.95,76.2
145,2021-09-15,3,11,0.64,391.77,1,0,8,1,2,3,87.4,80.9,33.5,26.4,14.4,0.33,1134.1,35.0,12.5,478.68,42.7
146,2021-09-20,4,5,0.23,391.77,1,0,6,4,2,0,76.9,70.3,44.3,28.2,14.0,0.77,1995.8,44.3,12.0,559.54,76.5
147,2023-09-01,5,11,0.31,391.77,2,0,6,4,3,0,57.6,54.1,76.4,28.6,7.0,0.53,546.3,45.8,16.4,684.0,47.2
148,2021-12-05,6,8,0.15,391.77,1,0,7,3,5,4,82.2,68.0,75.9,26.0,25.2,0.11,1084.0,29.8,19.1,319.57,80.5
149,2022-06-27,3,14,0.9,391.77,2,0,3,6,5,0,60.6,30.7,48.3,27.7,6.3,0.26,316.1,34.0,12.0,582.64,47.6
150,2023-12-17,3,7,0.18,391.77,0,0,4,0,4,1,86.4,83.7,64.5,29.6,113.2,0.53,1134.3,41.1,17.4,563.26,85.0
151,2023-05-17,4,9,0.17,391.77,0,0,4,0,1,0,51.0,69.1,35.8,29.5,15.5,0.2,127.2,61.1,14.6,524.06,50.8
152,2022-03-10,5,9,0.59,391.77,5,0,8,3,4,2,76.2,40.5,57.9,25.0,78.3,0.17,798.1,27.7,15.7,423.88,60.3
153,2022-02-16,4,6,0.37,391.77,1,0,9,0,4,0,66.0,63.1,51.5,29.1,41.4,0.32,1001.1,54.1,12.1,573.83,42.7
154,2022-10-01,2,14,0.81,391.77,1,0,10,1,2,0,61.8,45.2,51.2,27.3,31.2,0.61,972.2,56.7,15.3,485.68,51.3
155,2023-03-29,6,5,0.77,391.77,0,0,13,3,6,2,86.3,84.6,27.9,26.2,56.9,0.53,1655.8,21.5,11.6,410.61,56.2
156,2023-02-04,6,9,0.79,391.77,0,0,11,1,0,0,75.0,37.6,40.1,25.6,66.4,0.45,1529.3,48.1,17.7,501.18,87.3
157,2023-06-17,8,15,0.69,391.77,1,0,7,1,2,1,89.8,77.4,66.4,28.1,27.0,0.13,1398.1,45.4,13.9,539.95,77.9
158,2023-11-26,1,7,0.21,391.77,1,0,6,4,3,0,92.0,88.4,54.0,28.2,52.0,0.73,1900.5,59.6,10.7,612.43,66.5
159,2023-07-14,6,10,0.15,391.77,2,0,7,2,3,0,58.7,37.1,28.6,30.3,6.2,0.37,1875.3,17.8,14.1,370.0,50.4
160,2021-09-05,2,12,0.15,391.77,1,0,7,2,3,1,77.2,70.2,64.8,26.8,153.8,0.71,1367.6,14.6,11.2,614.61,66.6
161,2022-05-23,5,8,0.74,391.77,2,0,8,0,1,0,89.6,42.7,40.3,24.3,23.0,0.71,1610.4,59.7,15.9,442.15,84.3
162,2022-04-06,2,8,0.63,391.77,0,0,9,2,3,0,50.6,56.7,36.5,27.1,13.0,0.18,1215.9,61.5,13.4,502.79,89.7
163,2021-05-12,6,11,0.88,391.77,2,0,5,1,1,3,59.2,71.1,43.2,26.7,67.3,0.58,1756.0,67.1,18.5,561.08,74.3
164,2022-11-24,4,10,0.61,391.77,2,0,9,5,6,0,89.6,38.3,48.9,26.5,56.2,0.23,413.1,69.4,19.0,576.46,70.4
165,2021-02-13,3,8,0.3,391.77,0,0,8,2,2,0,70.1,37.7,58.3,25.1,22.7,0.59,1986.8,59.2,17.0,517.23,70.0
166,2022-04-17,5,9,0.17,391.77,1,0,2,7,2,2,81.9,50.4,45.2,27.4,24.3,0.8,1771.3,57.3,10.0,524.12,85.7
167,2022-03-28,6,6,0.39,391.77,0,0,5,2,2,1,67.8,58.5,60.4,32.7,26.3,0.23,1667.8,48.3,19.3,415.96,68.3
168,2021-01-15,3,2,0.26,391.77,1,0,5,2,5,0,56.5,61.8,70.6,26.0,40.4,0.14,1277.9,38.9,10.2,471.69,60.0
169,2021-05-26,4,6,0.6,391.77,1,0,8,3,3,2,73.9,44.8,62.7,23.9,20.1,0.35,1883.2,66.8,16.0,571.71,79.6
170,2021-05-01,8,11,0.18,391.77,0,0,3,1,3,0,62.7,50.6,55.8,25.2,39.0,0.34,1025.7,68.6,10.6,515.98,83.6
171,2022-04-14,4,10,0.72,391.77,1,0,11,2,4,1,97.6,39.2,64.2,29.2,53.3,0.19,290.8,39.4,13.6,514.85,67.6
172,2021-05-19,10,7,0.66,391.77,1,0,14,1,2,0,85.0,61.2,61.2,25.7,70.3,0.26,701.1,43.4,15.6,439.28,66.0
173,2021-03-06,4,12,0.69,391.77,0,0,4,1,1,1,58.3,49.6,33.5,25.7,3.6,0.45,888.5,51.2,12.3,469.95,50.5
174,2022-11-08,5,6,0.87,391.77,1,0,5,4,1,3,82.8,70.7,49.9,24.7,76.9,0.46,671.8,41.6,11.3,461.86,85.0
